"DATE","pconshh09Q3","pconshh09Q4","pconshh10Q1","pconshh10Q2","pconshh10Q3","pconshh10Q4","pconshh11Q1","pconshh11Q2","pconshh11Q3","pconshh11Q4","pconshh12Q1","pconshh12Q2","pconshh12Q3","pconshh12Q4","pconshh13Q1","pconshh13Q2","pconshh13Q3","pconshh13Q4","pconshh14Q1","pconshh14Q2","pconshh14Q3","pconshh14Q4","pconshh15Q1","pconshh15Q2"
"1969:Q4","16.943","16.943","16.943","16.943","16.943","16.943","16.943","16.943","16.942","16.942","16.942","16.942","16.942","16.942","16.942","16.942","15.672","15.672","15.672","15.672","15.673","15.673","15.673","15.673"
"1970:Q1","17.176","17.176","17.176","17.176","17.176","17.176","17.176","17.176","17.174","17.174","17.174","17.174","17.174","17.174","17.174","17.174","15.887","15.887","15.887","15.887","15.887","15.887","15.887","15.887"
"1970:Q2","17.419","17.419","17.419","17.419","17.419","17.419","17.419","17.419","17.418","17.418","17.418","17.418","17.418","17.418","17.418","17.418","16.112","16.112","16.112","16.112","16.113","16.113","16.113","16.113"
"1970:Q3","17.638","17.638","17.638","17.638","17.638","17.638","17.638","17.638","17.637","17.637","17.637","17.637","17.637","17.637","17.637","17.637","16.315","16.315","16.315","16.315","16.316","16.316","16.316","16.316"
"1970:Q4","17.897","17.897","17.897","17.897","17.897","17.897","17.897","17.897","17.895","17.895","17.895","17.895","17.895","17.895","17.895","17.895","16.554","16.554","16.554","16.554","16.555","16.555","16.555","16.555"
"1971:Q1","18.136","18.136","18.136","18.136","18.136","18.136","18.136","18.136","18.134","18.134","18.134","18.134","18.134","18.134","18.134","18.134","16.775","16.775","16.775","16.775","16.776","16.776","16.776","16.776"
"1971:Q2","18.377","18.377","18.377","18.377","18.377","18.377","18.377","18.377","18.375","18.375","18.375","18.375","18.375","18.375","18.375","18.375","16.998","16.998","16.998","16.998","16.999","16.999","16.999","16.999"
"1971:Q3","18.634","18.634","18.634","18.634","18.634","18.634","18.634","18.634","18.632","18.632","18.632","18.632","18.632","18.632","18.632","18.632","17.236","17.236","17.236","17.236","17.237","17.237","17.237","17.237"
"1971:Q4","18.811","18.811","18.811","18.811","18.811","18.811","18.811","18.811","18.81","18.81","18.81","18.81","18.81","18.81","18.81","18.81","17.4","17.4","17.4","17.4","17.4","17.4","17.4","17.4"
"1972:Q1","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.018","19.016","19.016","19.016","19.016","19.016","19.016","19.016","19.016","17.591","17.591","17.591","17.591","17.592","17.592","17.592","17.592"
"1972:Q2","19.177","19.177","19.177","19.177","19.177","19.177","19.177","19.177","19.176","19.176","19.176","19.176","19.176","19.176","19.176","19.176","17.739","17.739","17.739","17.739","17.739","17.739","17.739","17.739"
"1972:Q3","19.364","19.364","19.364","19.364","19.364","19.364","19.364","19.364","19.362","19.362","19.362","19.362","19.362","19.362","19.362","19.362","17.911","17.911","17.911","17.911","17.911","17.911","17.911","17.911"
"1972:Q4","19.541","19.541","19.541","19.541","19.541","19.541","19.541","19.541","19.539","19.539","19.539","19.539","19.539","19.539","19.539","19.539","18.075","18.075","18.075","18.075","18.075","18.075","18.075","18.075"
"1973:Q1","19.713","19.713","19.713","19.713","19.713","19.713","19.713","19.713","19.712","19.712","19.712","19.712","19.712","19.712","19.712","19.712","18.234","18.234","18.234","18.234","18.235","18.235","18.235","18.235"
"1973:Q2","20.012","20.012","20.012","20.012","20.012","20.012","20.012","20.012","20.011","20.011","20.011","20.011","20.011","20.011","20.011","20.011","18.511","18.511","18.511","18.511","18.512","18.512","18.512","18.512"
"1973:Q3","20.345","20.345","20.345","20.345","20.345","20.345","20.345","20.345","20.343","20.343","20.343","20.343","20.343","20.343","20.343","20.343","18.818","18.818","18.818","18.818","18.819","18.819","18.819","18.819"
"1973:Q4","20.727","20.727","20.727","20.727","20.727","20.727","20.727","20.727","20.725","20.725","20.725","20.725","20.725","20.725","20.725","20.725","19.172","19.172","19.172","19.172","19.173","19.173","19.173","19.173"
"1974:Q1","21.138","21.138","21.138","21.138","21.138","21.138","21.138","21.138","21.137","21.137","21.137","21.137","21.137","21.137","21.137","21.137","19.553","19.553","19.553","19.553","19.553","19.553","19.553","19.553"
"1974:Q2","21.617","21.617","21.617","21.617","21.617","21.617","21.617","21.617","21.615","21.615","21.615","21.615","21.615","21.615","21.615","21.615","19.995","19.995","19.995","19.995","19.996","19.996","19.996","19.996"
"1974:Q3","22.124","22.124","22.124","22.124","22.124","22.124","22.124","22.124","22.122","22.122","22.122","22.122","22.122","22.122","22.122","22.122","20.464","20.464","20.464","20.464","20.465","20.465","20.465","20.465"
"1974:Q4","22.613","22.613","22.613","22.613","22.613","22.613","22.613","22.613","22.612","22.612","22.612","22.612","22.612","22.612","22.612","22.612","20.917","20.917","20.917","20.917","20.918","20.918","20.918","20.918"
"1975:Q1","23.126","23.126","23.126","23.126","23.126","23.126","23.126","23.126","23.124","23.124","23.124","23.124","23.124","23.124","23.124","23.124","21.391","21.391","21.391","21.391","21.391","21.391","21.391","21.391"
"1975:Q2","23.515","23.515","23.515","23.515","23.515","23.515","23.515","23.515","23.513","23.513","23.513","23.513","23.513","23.513","23.513","23.513","21.751","21.751","21.751","21.751","21.751","21.751","21.751","21.751"
"1975:Q3","23.939","23.939","23.939","23.939","23.939","23.939","23.939","23.939","23.937","23.937","23.937","23.937","23.937","23.937","23.937","23.937","22.144","22.144","22.144","22.144","22.144","22.144","22.144","22.144"
"1975:Q4","24.424","24.424","24.424","24.424","24.424","24.424","24.424","24.424","24.422","24.422","24.422","24.422","24.422","24.422","24.422","24.422","22.591","22.591","22.591","22.591","22.592","22.592","22.592","22.592"
"1976:Q1","24.822","24.822","24.822","24.822","24.822","24.822","24.822","24.822","24.82","24.82","24.82","24.82","24.82","24.82","24.82","24.82","22.96","22.96","22.96","22.96","22.96","22.96","22.96","22.96"
"1976:Q2","25.156","25.156","25.156","25.156","25.156","25.156","25.156","25.156","25.154","25.154","25.154","25.154","25.154","25.154","25.154","25.154","23.269","23.269","23.269","23.269","23.269","23.269","23.269","23.269"
"1976:Q3","25.615","25.615","25.615","25.615","25.615","25.615","25.615","25.615","25.613","25.613","25.613","25.613","25.613","25.613","25.613","25.613","23.694","23.694","23.694","23.694","23.694","23.694","23.694","23.694"
"1976:Q4","26.051","26.051","26.051","26.051","26.051","26.051","26.051","26.051","26.049","26.049","26.049","26.049","26.049","26.049","26.049","26.049","24.097","24.097","24.097","24.097","24.097","24.097","24.097","24.097"
"1977:Q1","26.555","26.555","26.555","26.555","26.555","26.555","26.555","26.555","26.553","26.553","26.553","26.553","26.553","26.553","26.553","26.553","24.563","24.563","24.563","24.563","24.564","24.564","24.564","24.564"
"1977:Q2","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.097","27.097","27.097","27.097","27.097","27.097","27.097","27.097","25.067","25.067","25.067","25.067","25.067","25.067","25.067","25.067"
"1977:Q3","27.612","27.612","27.612","27.612","27.612","27.612","27.612","27.612","27.61","27.61","27.61","27.61","27.61","27.61","27.61","27.61","25.541","25.541","25.541","25.541","25.541","25.541","25.541","25.541"
"1977:Q4","28.062","28.062","28.062","28.062","28.062","28.062","28.062","28.062","28.06","28.06","28.06","28.06","28.06","28.06","28.06","28.06","25.957","25.957","25.957","25.957","25.958","25.958","25.958","25.958"
"1978:Q1","28.609","28.609","28.609","28.609","28.609","28.609","28.609","28.609","28.606","28.606","28.606","28.606","28.606","28.606","28.606","28.606","26.463","26.463","26.463","26.463","26.463","26.463","26.463","26.463"
"1978:Q2","29.19","29.19","29.19","29.19","29.19","29.19","29.19","29.19","29.188","29.188","29.188","29.188","29.188","29.188","29.188","29.188","27.0","27.0","27.0","27.0","27.001","27.001","27.001","27.001"
"1978:Q3","29.726","29.726","29.726","29.726","29.726","29.726","29.726","29.726","29.724","29.724","29.724","29.724","29.724","29.724","29.724","29.724","27.496","27.496","27.496","27.496","27.497","27.497","27.497","27.497"
"1978:Q4","30.344","30.344","30.344","30.344","30.344","30.344","30.344","30.344","30.341","30.341","30.341","30.341","30.341","30.341","30.341","30.341","28.068","28.068","28.068","28.068","28.068","28.068","28.068","28.068"
"1979:Q1","30.761","30.761","30.761","30.761","30.761","30.761","30.761","30.761","30.759","30.759","30.759","30.759","30.759","30.759","30.759","30.759","28.454","28.454","28.454","28.454","28.454","28.454","28.454","28.454"
"1979:Q2","31.558","31.558","31.558","31.558","31.558","31.558","31.558","31.558","31.556","31.556","31.556","31.556","31.556","31.556","31.556","31.556","29.191","29.191","29.191","29.191","29.191","29.191","29.191","29.191"
"1979:Q3","32.286","32.286","32.286","32.286","32.286","32.286","32.286","32.286","32.283","32.283","32.283","32.283","32.283","32.283","32.283","32.283","29.864","29.864","29.864","29.864","29.865","29.865","29.865","29.865"
"1979:Q4","33.06","33.06","33.06","33.06","33.06","33.06","33.06","33.06","33.057","33.057","33.057","33.057","33.057","33.057","33.057","33.057","30.58","30.58","30.58","30.58","30.58","30.58","30.58","30.58"
"1980:Q1","33.887","33.887","33.887","33.887","33.887","33.887","33.887","33.887","33.884","33.884","33.884","33.884","33.884","33.884","33.884","33.884","31.345","31.345","31.345","31.345","31.345","31.345","31.345","31.345"
"1980:Q2","34.709","34.709","34.709","34.709","34.709","34.709","34.709","34.709","34.706","34.706","34.706","34.706","34.706","34.706","34.706","34.706","32.105","32.105","32.105","32.105","32.106","32.106","32.106","32.106"
"1980:Q3","35.649","35.649","35.649","35.649","35.649","35.649","35.649","35.649","35.646","35.646","35.646","35.646","35.646","35.646","35.646","35.646","32.975","32.975","32.975","32.975","32.975","32.975","32.975","32.975"
"1980:Q4","36.672","36.672","36.672","36.672","36.672","36.672","36.672","36.672","36.669","36.669","36.669","36.669","36.669","36.669","36.669","36.669","33.921","33.921","33.921","33.921","33.921","33.921","33.921","33.921"
"1981:Q1","37.673","37.673","37.673","37.673","37.673","37.673","37.673","37.673","37.67","37.67","37.67","37.67","37.67","37.67","37.67","37.67","34.847","34.847","34.847","34.847","34.847","34.847","34.847","34.847"
"1981:Q2","38.414","38.414","38.414","38.414","38.414","38.414","38.414","38.414","38.411","38.411","38.411","38.411","38.411","38.411","38.411","38.411","35.532","35.532","35.532","35.532","35.533","35.533","35.533","35.533"
"1981:Q3","39.293","39.293","39.293","39.293","39.293","39.293","39.293","39.293","39.29","39.29","39.29","39.29","39.29","39.29","39.29","39.29","36.345","36.345","36.345","36.345","36.346","36.346","36.346","36.346"
"1981:Q4","40.149","40.149","40.149","40.149","40.149","40.149","40.149","40.149","40.146","40.146","40.146","40.146","40.146","40.146","40.146","40.146","37.137","37.137","37.137","37.137","37.138","37.138","37.138","37.138"
"1982:Q1","40.929","40.929","40.929","40.929","40.929","40.929","40.929","40.929","40.926","40.926","40.926","40.926","40.926","40.926","40.926","40.926","37.859","37.859","37.859","37.859","37.859","37.859","37.859","37.859"
"1982:Q2","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.607","41.604","41.604","41.604","41.604","41.604","41.604","41.604","41.604","38.486","38.486","38.486","38.486","38.487","38.487","38.487","38.487"
"1982:Q3","42.478","42.478","42.478","42.478","42.478","42.478","42.478","42.478","42.474","42.474","42.474","42.474","42.474","42.474","42.474","42.474","39.291","39.291","39.291","39.291","39.292","39.292","39.292","39.292"
"1982:Q4","43.329","43.329","43.329","43.329","43.329","43.329","43.329","43.329","43.326","43.326","43.326","43.326","43.326","43.326","43.326","43.326","40.079","40.079","40.079","40.079","40.079","40.079","40.079","40.079"
"1983:Q1","44.055","44.055","44.055","44.055","44.055","44.055","44.055","44.055","44.051","44.051","44.051","44.051","44.051","44.051","44.051","44.051","40.749","40.749","40.749","40.749","40.75","40.75","40.75","40.75"
"1983:Q2","44.453","44.453","44.453","44.453","44.453","44.453","44.453","44.453","44.449","44.449","44.449","44.449","44.449","44.449","44.449","44.449","41.118","41.118","41.118","41.118","41.119","41.119","41.119","41.119"
"1983:Q3","45.304","45.304","45.304","45.304","45.304","45.304","45.304","45.304","45.301","45.301","45.301","45.301","45.301","45.301","45.301","45.301","41.905","41.905","41.905","41.905","41.906","41.906","41.906","41.906"
"1983:Q4","45.822","45.822","45.822","45.822","45.822","45.822","45.822","45.822","45.818","45.818","45.818","45.818","45.818","45.818","45.818","45.818","42.384","42.384","42.384","42.384","42.385","42.385","42.385","42.385"
"1984:Q1","46.433","46.433","46.433","46.433","46.433","46.433","46.433","46.433","46.429","46.429","46.429","46.429","46.429","46.429","46.429","46.429","42.95","42.95","42.95","42.95","42.951","42.951","42.951","42.951"
"1984:Q2","47.162","47.162","47.162","47.162","47.162","47.162","47.162","47.162","47.158","47.158","47.158","47.158","47.158","47.158","47.158","47.158","43.624","43.624","43.624","43.624","43.625","43.625","43.625","43.625"
"1984:Q3","47.763","47.763","47.763","47.763","47.763","47.763","47.763","47.763","47.759","47.759","47.759","47.759","47.759","47.759","47.759","47.759","44.179","44.179","44.179","44.179","44.18","44.18","44.18","44.18"
"1984:Q4","48.21","48.21","48.21","48.21","48.21","48.21","48.21","48.21","48.206","48.206","48.206","48.206","48.206","48.206","48.206","48.206","44.592","44.592","44.592","44.592","44.593","44.593","44.593","44.593"
"1985:Q1","48.898","48.898","48.898","48.898","48.898","48.898","48.898","48.898","48.894","48.894","48.894","48.894","48.894","48.894","48.894","48.894","45.335","45.335","45.335","45.335","45.336","45.336","45.336","45.336"
"1985:Q2","49.381","49.381","49.381","49.381","49.381","49.381","49.381","49.381","49.377","49.377","49.377","49.377","49.377","49.377","49.377","49.377","45.86","45.86","45.86","45.86","45.862","45.862","45.862","45.862"
"1985:Q3","49.906","49.906","49.906","49.906","49.906","49.906","49.906","49.906","49.901","49.901","49.901","49.901","49.901","49.901","49.901","49.901","46.479","46.479","46.479","46.479","46.48","46.48","46.48","46.48"
"1985:Q4","50.356","50.356","50.356","50.356","50.356","50.356","50.356","50.356","50.352","50.352","50.352","50.352","50.352","50.352","50.352","50.352","46.812","46.812","46.812","46.812","46.813","46.813","46.813","46.813"
"1986:Q1","51.154","51.154","51.154","51.154","51.154","51.154","51.154","51.154","51.15","51.15","51.15","51.15","51.15","51.15","51.15","51.15","47.546","47.546","47.546","47.546","47.547","47.547","47.547","47.547"
"1986:Q2","51.79","51.79","51.79","51.79","51.79","51.79","51.79","51.79","51.786","51.786","51.786","51.786","51.786","51.786","51.786","51.786","47.981","47.981","47.981","47.981","47.982","47.982","47.982","47.982"
"1986:Q3","52.304","52.304","52.304","52.304","52.304","52.304","52.304","52.304","52.3","52.3","52.3","52.3","52.3","52.3","52.3","52.3","48.263","48.263","48.263","48.263","48.264","48.264","48.264","48.264"
"1986:Q4","52.853","52.853","52.853","52.853","52.853","52.853","52.853","52.853","52.849","52.849","52.849","52.849","52.849","52.849","52.849","52.849","48.656","48.656","48.656","48.656","48.657","48.657","48.657","48.657"
"1987:Q1","53.302","53.302","53.302","53.302","53.302","53.302","53.302","53.302","53.297","53.297","53.297","53.297","53.297","53.297","53.297","53.297","48.852","48.852","48.852","48.852","48.853","48.853","48.853","48.853"
"1987:Q2","53.755","53.755","53.755","53.755","53.755","53.755","53.755","53.755","53.75","53.75","53.75","53.75","53.75","53.75","53.75","53.75","49.326","49.326","49.326","49.326","49.327","49.327","49.327","49.327"
"1987:Q3","54.38","54.38","54.38","54.38","54.38","54.38","54.38","54.38","54.376","54.376","54.376","54.376","54.376","54.376","54.376","54.376","49.819","49.819","49.819","49.819","49.82","49.82","49.82","49.82"
"1987:Q4","54.986","54.986","54.986","54.986","54.986","54.986","54.986","54.986","54.981","54.981","54.981","54.981","54.981","54.981","54.981","54.981","50.387","50.387","50.387","50.387","50.388","50.388","50.388","50.388"
"1988:Q1","55.746","55.746","55.746","55.746","55.746","55.746","55.746","55.746","55.742","55.742","55.742","55.742","55.742","55.742","55.742","55.742","51.017","51.017","51.017","51.017","51.018","51.018","51.018","51.018"
"1988:Q2","56.484","56.484","56.484","56.484","56.484","56.484","56.484","56.484","56.479","56.479","56.479","56.479","56.479","56.479","56.479","56.479","51.7","51.7","51.7","51.7","51.702","51.702","51.702","51.702"
"1988:Q3","57.27","57.27","57.27","57.27","57.27","57.27","57.27","57.27","57.265","57.265","57.265","57.265","57.265","57.265","57.265","57.265","52.416","52.416","52.416","52.416","52.417","52.417","52.417","52.417"
"1988:Q4","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.947","57.942","57.942","57.942","57.942","57.942","57.942","57.942","57.942","53.068","53.068","53.068","53.068","53.069","53.069","53.069","53.069"
"1989:Q1","58.751","58.751","58.751","58.751","58.751","58.751","58.751","58.751","58.746","58.746","58.746","58.746","58.746","58.746","58.746","58.746","53.727","53.727","53.727","53.727","53.729","53.729","53.729","53.729"
"1989:Q2","59.431","59.431","59.431","59.431","59.431","59.431","59.431","59.431","59.426","59.426","59.426","59.426","59.426","59.426","59.426","59.426","54.358","54.358","54.358","54.358","54.359","54.359","54.359","54.359"
"1989:Q3","60.032","60.032","60.032","60.032","60.032","60.032","60.032","60.032","60.027","60.027","60.027","60.027","60.027","60.027","60.027","60.027","54.931","54.931","54.931","54.931","54.932","54.932","54.932","54.932"
"1989:Q4","60.739","60.739","60.739","60.739","60.739","60.739","60.739","60.739","60.734","60.734","60.734","60.734","60.734","60.734","60.734","60.734","55.567","55.567","55.567","55.567","55.568","55.568","55.568","55.568"
"1990:Q1","61.569","61.569","61.569","61.569","61.569","61.569","61.569","61.569","61.563","61.563","61.563","61.563","61.563","61.563","61.563","61.563","56.241","56.241","56.241","56.241","56.242","56.242","56.242","56.242"
"1990:Q2","62.597","62.597","62.597","62.597","62.597","62.597","62.597","62.597","62.592","62.592","62.592","62.592","62.592","62.592","62.592","62.592","57.008","57.008","57.008","57.008","57.01","57.01","57.01","57.01"
"1990:Q3","63.426","63.426","63.426","63.426","63.426","63.426","63.426","63.426","63.421","63.421","63.421","63.421","63.421","63.421","63.421","63.421","57.742","57.742","57.742","57.742","57.743","57.743","57.743","57.743"
"1990:Q4","64.129","64.129","64.129","64.129","64.129","64.129","64.129","64.129","64.124","64.124","64.124","64.124","64.124","64.124","64.124","64.124","58.368","58.368","58.368","58.368","58.37","58.37","58.37","58.37"
"1991:Q1","64.904","64.904","64.904","64.904","64.904","64.904","64.904","64.904","64.898","64.898","64.898","64.898","64.898","64.898","64.898","64.898","58.933","58.933","58.933","58.933","58.934","58.934","58.934","58.934"
"1991:Q2","65.487","65.487","65.487","65.487","65.487","65.487","65.487","65.487","65.481","65.481","65.481","65.481","65.481","65.481","65.481","65.481","59.393","59.393","59.393","59.393","59.394","59.394","59.394","59.394"
"1991:Q3","66.291","66.291","66.291","66.291","66.291","66.291","66.291","66.291","66.286","66.286","66.286","66.286","66.286","66.286","66.286","66.286","60.04","60.04","60.04","60.04","60.041","60.041","60.041","60.041"
"1991:Q4","67.038","67.038","67.038","67.038","67.038","67.038","67.038","67.038","67.033","67.033","67.033","67.033","67.033","67.033","67.033","67.033","60.642","60.642","60.642","60.642","60.644","60.644","60.644","60.644"
"1992:Q1","67.932","67.932","67.932","67.932","67.932","67.932","67.932","67.932","67.927","67.927","67.927","67.927","67.927","67.927","67.927","67.927","61.285","61.285","61.285","61.285","61.286","61.286","61.286","61.286"
"1992:Q2","68.588","68.588","68.588","68.588","68.588","68.588","68.588","68.588","68.582","68.582","68.582","68.582","68.582","68.582","68.582","68.582","61.848","61.848","61.848","61.848","61.85","61.85","61.85","61.85"
