"DATE","RGSL65Q4","RGSL66Q1","RGSL66Q2","RGSL66Q3","RGSL66Q4","RGSL67Q1","RGSL67Q2","RGSL67Q3","RGSL67Q4","RGSL68Q1","RGSL68Q2","RGSL68Q3","RGSL68Q4","RGSL69Q1","RGSL69Q2","RGSL69Q3","RGSL69Q4","RGSL70Q1","RGSL70Q2","RGSL70Q3","RGSL70Q4","RGSL71Q1","RGSL71Q2","RGSL71Q3","RGSL71Q4","RGSL72Q1","RGSL72Q2","RGSL72Q3","RGSL72Q4","RGSL73Q1","RGSL73Q2","RGSL73Q3","RGSL73Q4","RGSL74Q1","RGSL74Q2","RGSL74Q3","RGSL74Q4","RGSL75Q1","RGSL75Q2","RGSL75Q3","RGSL75Q4","RGSL76Q1","RGSL76Q2","RGSL76Q3","RGSL76Q4","RGSL77Q1","RGSL77Q2","RGSL77Q3","RGSL77Q4","RGSL78Q1","RGSL78Q2","RGSL78Q3","RGSL78Q4","RGSL79Q1","RGSL79Q2","RGSL79Q3","RGSL79Q4","RGSL80Q1","RGSL80Q2","RGSL80Q3","RGSL80Q4","RGSL81Q1","RGSL81Q2","RGSL81Q3","RGSL81Q4","RGSL82Q1","RGSL82Q2","RGSL82Q3","RGSL82Q4","RGSL83Q1","RGSL83Q2","RGSL83Q3","RGSL83Q4","RGSL84Q1","RGSL84Q2","RGSL84Q3","RGSL84Q4","RGSL85Q1","RGSL85Q2","RGSL85Q3","RGSL85Q4","RGSL86Q1","RGSL86Q2","RGSL86Q3","RGSL86Q4","RGSL87Q1","RGSL87Q2","RGSL87Q3","RGSL87Q4","RGSL88Q1","RGSL88Q2","RGSL88Q3","RGSL88Q4","RGSL89Q1","RGSL89Q2","RGSL89Q3","RGSL89Q4","RGSL90Q1","RGSL90Q2","RGSL90Q3","RGSL90Q4","RGSL91Q1","RGSL91Q2","RGSL91Q3","RGSL91Q4","RGSL92Q1","RGSL92Q2","RGSL92Q3","RGSL92Q4","RGSL93Q1","RGSL93Q2","RGSL93Q3","RGSL93Q4","RGSL94Q1","RGSL94Q2","RGSL94Q3","RGSL94Q4","RGSL95Q1","RGSL95Q2","RGSL95Q3","RGSL95Q4","RGSL96Q1","RGSL96Q2","RGSL96Q3","RGSL96Q4","RGSL97Q1","RGSL97Q2","RGSL97Q3","RGSL97Q4","RGSL98Q1","RGSL98Q2","RGSL98Q3","RGSL98Q4","RGSL99Q1","RGSL99Q2","RGSL99Q3","RGSL99Q4","RGSL00Q1","RGSL00Q2","RGSL00Q3","RGSL00Q4","RGSL01Q1","RGSL01Q2","RGSL01Q3","RGSL01Q4","RGSL02Q1","RGSL02Q2","RGSL02Q3","RGSL02Q4","RGSL03Q1","RGSL03Q2","RGSL03Q3","RGSL03Q4","RGSL04Q1","RGSL04Q2","RGSL04Q3","RGSL04Q4","RGSL05Q1","RGSL05Q2","RGSL05Q3","RGSL05Q4","RGSL06Q1","RGSL06Q2","RGSL06Q3","RGSL06Q4","RGSL07Q1","RGSL07Q2","RGSL07Q3","RGSL07Q4","RGSL08Q1","RGSL08Q2","RGSL08Q3","RGSL08Q4","RGSL09Q1","RGSL09Q2","RGSL09Q3","RGSL09Q4","RGSL10Q1","RGSL10Q2","RGSL10Q3","RGSL10Q4","RGSL11Q1","RGSL11Q2","RGSL11Q3","RGSL11Q4","RGSL12Q1","RGSL12Q2","RGSL12Q3","RGSL12Q4","RGSL13Q1","RGSL13Q2","RGSL13Q3","RGSL13Q4","RGSL14Q1","RGSL14Q2","RGSL14Q3","RGSL14Q4","RGSL15Q1","RGSL15Q2"
"1960:Q3","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","185.0","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","220.4","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","270.0","#N/A","293.8289","#N/A","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","295.0","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","325.4","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","397.5","483.9","483.9","483.9","483.9","483.9","483.9","483.9","483.9"
"1960:Q4","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","83.7","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","84.1","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","186.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","222.9","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","#N/A","297.2124","#N/A","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","298.4","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","329.2","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","489.4","489.4","489.4","489.4","489.4","489.4","489.4","489.4"
"1961:Q1","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","192.8","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","229.9","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","281.8","#N/A","306.7395","#N/A","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","308.0","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","339.8","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","415.1","505.1","505.1","505.1","505.1","505.1","505.1","505.1","505.1"
"1961:Q2","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.0","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","228.3","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","280.1","#N/A","304.6916","#N/A","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","412.3","501.7","501.7","501.7","501.7","501.7","501.7","501.7","501.7"
"1961:Q3","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","46.1","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","193.5","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","231.0","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","282.6","#N/A","307.2738","#N/A","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","308.6","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","340.4","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","415.8","505.9","505.9","505.9","505.9","505.9","505.9","505.9","505.9"
"1961:Q4","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","47.0","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","198.9","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","290.5","#N/A","315.6435","#N/A","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","519.6","519.6","519.6","519.6","519.6","519.6","519.6","519.6"
"1962:Q1","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","88.7","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","197.3","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","234.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","#N/A","313.4175","#N/A","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","314.8","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","347.4","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.2","424.2","424.2","424.2","424.2","424.2","424.2","424.2","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8"
"1962:Q2","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.3","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","198.8","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","235.3","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","#N/A","315.6435","#N/A","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","317.0","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","349.9","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","427.3","519.3","519.3","519.3","519.3","519.3","519.3","519.3","519.3"
"1962:Q3","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","47.6","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.5","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","201.2","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","238.0","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","#N/A","319.6502","#N/A","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","354.3","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","432.7","525.7","525.7","525.7","525.7","525.7","525.7","525.7","525.7"
"1962:Q4","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","48.0","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","203.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","#N/A","323.1227","#N/A","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","324.6","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","358.2","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.4","437.4","437.4","437.4","437.4","437.4","437.4","437.4","531.2","531.2","531.2","531.2","531.2","531.2","531.2","531.2"
"1963:Q1","49.1","49.1","49.1","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","49.4","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.3","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","207.0","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","244.7","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","302.3","#N/A","329.2664","#N/A","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","330.8","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","364.9","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","445.7","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9"
"1963:Q2","49.5","49.5","49.5","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","208.9","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","247.0","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","305.3","#N/A","332.2938","#N/A","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","333.8","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","368.2","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","449.7","545.7","545.7","545.7","545.7","545.7","545.7","545.7","545.7"
"1963:Q3","50.3","50.3","50.3","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","50.4","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.5","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","96.9","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","214.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","253.6","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","313.4","#N/A","341.1977","#N/A","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","342.7","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","378.1","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","461.7","560.1","560.1","560.1","560.1","560.1","560.1","560.1","560.1"
"1963:Q4","50.8","50.8","50.8","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","257.1","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","317.9","#N/A","345.9167","#N/A","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","347.5","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","383.4","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","468.2","567.7","567.7","567.7","567.7","567.7","567.7","567.7","567.7"
